2012-05-16 16:25:55.863 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.863 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.863 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.863 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.863 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.863 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.864 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.864 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.864 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.864 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.864 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.864 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.865 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.865 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.865 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.865 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.865 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.865 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.866 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.866 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.866 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.866 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
